Site;Region;Latitude;Longitude;Altitude (m);Ecological type;Vegetation cover(%);VMC(%);MAGT(oC);Geomorphic unit;Soil type;;;;;;;;;;;;;;;;;;;;;;;;;;
XDT-1;Xidatan ;35.72;94.08;4503;Alpine desert steppe;11.25;16.8;-0.71 ;Vally;Clayey loam + Grave;;;;;;;;;;;;;;;;;;;;;;;;;;
KLS-1;Kunlun Mt.;35.65;94.06;4728;Alpine desert steppe;3.6;124.1;-2.50 ;Mountain;Clayey loam;;;;;;;;;;;;;;;;;;;;;;;;;;
KM2;Kunlunshan;35.62;94.05;4757;Alpine steppe;47.3;61.3;-3.17 ;Plain;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
BD1;Budongquan;35.55;93.96;4636;Alpine desert steppe;7.67;69.8;-0.60 ;Plain;Sandy loam + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
XSH-1;Xieshuihe;35.52;93.76;4572;Alpine desert steppe;39.05;199.1;-1.64 ;Plain;Sand + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
XSH-2;Xieshuihe;35.52;93.76;4672;Alpine desert steppe;5.2;125.8;-1.35 ;Basin;Sandy loam + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
CM3;Xieshuihe;35.50;93.73;4547;Alpine steppe;23.87;71;-1.20 ;Basin;Sand + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
QSH-1;Qingshuihe;35.46;93.63;4484;Alpine desert steppe;8.33;32.7;-0.51 ;Plain;Sand + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
QSH-2;Qingshuihe;35.44;93.61;4478;Alpine steep;29.2;27.8;-1.22 ;Plain;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
QSH-3;Qingshuihe;35.44;93.60;4464;Alpine desert steppe;4.35;18.6;-0.49 ;Vally;Clayey loam;;;;;;;;;;;;;;;;;;;;;;;;;;
CM5;Chumaerhe;35.36;93.45;4507;Alpine steppe;26.25;12.3;-1.47 ;Mountain;Clayey loam;;;;;;;;;;;;;;;;;;;;;;;;;;
CM6;Chumaerhe;35.36;93.44;4504;Alpine desert steppe;17.25;17.5;-1.12 ;Plain;Clayey loam + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
CM7;Wudaoliang;35.28;93.22;4589;Alpine desert steppe;16.54;12.1;-0.55 ;Vally;Clayey loam + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
CM2;Chumaerhe;35.22;93.53;4487;Alpine desert steppe;7.25;53.6;-0.65 ;Plain;Sandy loam + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
WD1;Wudaoliang;35.22;93.08;4629;Alpine desert steppe;4.5;88.3;-1.33 ;Plain;Clayey loam + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
WD4;Wudaoliang;35.20;93.11;4734;Alpine meadow;37;36.7;-2.55 ;Plain;Clayey loam;;;;;;;;;;;;;;;;;;;;;;;;;;
WD3;wudaoliang;35.20;93.11;4613;Alpine meadow;88;73;-1.66 ;Vally;Clayey loam;;;;;;;;;;;;;;;;;;;;;;;;;;
WD2;Kekexili;35.14;93.04;4718;Alpine meadow;70;120.5;-2.02 ;Vally;Sandy loam + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
HR3;Honglianghe;35.07;93.03;4675;Alpine desert steppe;23;75.4;-1.23 ;Mountain;Clayey loam;;;;;;;;;;;;;;;;;;;;;;;;;;
BL4;Beiluhe Basin;34.85;92.94;4632;Alpine meadow;45.5;91;-0.37 ;Plain;Clayey loam + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
BL5;Beiluhe Basin;34.85;92.94;4629;Alpine meadow;38.23;162.1;-0.34 ;Plain;Clayey loam;;;;;;;;;;;;;;;;;;;;;;;;;;
BL6;Beiluhe Basin;34.84;92.94;4642;Alpine meadow;16.75;47.1;-0.47 ;Basin;Sandy loam + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
BL7;Beiluhe Basin;34.84;92.94;4632;Alpine meadow;58.75;45;-0.26 ;Basin;Sandy loam + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
BL2;Beiluhe Basin;34.83;92.93;4638;Alpine desert steppe;2.17;87.16;-0.34 ;Plain;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
BL3;Beiluhe Basin;34.83;92.93;4638;Alpine desert steppe;5.2;30.62;-0.52 ;Plain;Clayey loam;;;;;;;;;;;;;;;;;;;;;;;;;;
BL1;Beiluhe Basin;34.83;92.93;4635;Alpine desert steppe;1.5;11.5;-0.20 ;Mountain;Clayey loam;;;;;;;;;;;;;;;;;;;;;;;;;;
BL10;Beiluhe Basin;34.83;92.93;4645;Alpine desert steppe;25.3;20.7;-0.29 ;Plain;Sandy loam + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
BL11;Beiluhe Basin;34.82;92.92;4654;Alpine meadow;97;84.1;-0.84 ;Mountain;Sandy loam + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
BL12;Beiluhe Basin;34.82;92.92;4652;Alpine meadow;88.5;52.1;-1.25 ;Vally;Gravelly sandy loam;;;;;;;;;;;;;;;;;;;;;;;;;;
BL8;Beiluhe Basin;34.82;92.92;4654;Alpine meadow;79.25;234.1;-1.44 ;Plain;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
BL9;Beiluhe Basin;34.81;92.92;4665;Alpine meadow;97;114.1;-1.40 ;Plain;Clayey loam;;;;;;;;;;;;;;;;;;;;;;;;;;
FH1;Fenghuoshan;34.68;92.92;4950;Alpine meadow;86.75;40.1;-3.25 ;Plain;Sandy loam with gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
FH2;Fenghuoshan;34.67;92.90;4894;Alpine meadow;67;60.9;-2.18 ;Basin;Clayey loam;;;;;;;;;;;;;;;;;;;;;;;;;;
FH3;Fenghuoshan;34.61;92.78;4715;Alpine steppe;60;45.9;-0.66 ;Plain;Clayey loam;;;;;;;;;;;;;;;;;;;;;;;;;;
YM1;Yamaerhe;34.58;92.74;4654;Alpine desert steppe;23;32.1;-0.23 ;Vally;Sandy loam with gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
WL1;Wuli;34.48;92.73;4616;Alpine desert steppe;18;37.5;-0.45 ;Plain;Clayey loam;;;;;;;;;;;;;;;;;;;;;;;;;;
KL1;Kaixinling;34.01;92.34;4672;Alpine steppe;22.6;74.5;-0.74 ;Plain;Clayey loam;;;;;;;;;;;;;;;;;;;;;;;;;;
KXL1;Kaixinling;33.96;92.35;4627;Alpine meadow;38.25;40.6;-0.92 ;Plain;Sandy loam with gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
KL3;Kaixinling;33.96;92.34;4622;Alpine steppe;21.5;31;-0.84 ;Mountain;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
TT1;Buquhe;33.77;92.23;4622;Alpine desert steppe;11;45;-0.33 ;Plain;Sandy loam with gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
WQ1;Wenquang;33.47;91.94;4778;Alpine desert steppe;13;20.7;-0.09 ;Plain;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
WQ2;Wenquang;33.40;91.95;4817;Alpine desert steppe;8.9;13.8;-0.36 ;Plain;Sandy loam with gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
TG2;Tanggulashan;33.30;91.87;4841;Alpine steppe;23.5;23.5;0.66 ;Basin;Sand + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
TGB1;Tanggulashan;33.10;91.90;4948;Alpine steppe;29;36.6;-1.23 ;Basin;Sand + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
TG3;Tanggulashan;33.07;91.75;4926;Alpine meadow;87.7;34.8;-1.20 ;Basin;Sand + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
TG4;Tanggulashan;33.01;91.66;4974;Alpine desert steppe;2.2;112.2;-1.28 ;Basin;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
TG1;Tanggulashan;32.71;91.88;4995;Alpine steppe;14;21.1;-0.92 ;Basin;Sandy loam;;;;;;;;;;;;;;;;;;;;;;;;;;
TEM1;Touerjiushan;32.61;91.86;5059;Alpine desert steppe;6.6;12.9;-1.00 ;Basin;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
TJ1;Touerjiushan;32.51;91.53;4868;Alpine desert steppe;9.5;13.2;-0.23 ;Basin;Sandy loam;;;;;;;;;;;;;;;;;;;;;;;;;;
TM1;Touerjiushan;32.49;91.83;4897;Alpine  steppe;32.75;12.8;-0.82 ;Basin;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
AMD1;Amduo;32.40;91.75;4801;Alpine meadow;78.25;51.3;-0.01 ;Basin;Sandy loam;;;;;;;;;;;;;;;;;;;;;;;;;;
TJ2;Touerjiushan;32.39;91.62;4887;Alpine desert steppe;10.5;67.3;-0.06 ;Basin;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
AD1;Amduo;32.39;91.72;4784;Alpine meadow;93;21.1;-0.09 ;Basin;Sandy loam;;;;;;;;;;;;;;;;;;;;;;;;;;
AD2;Amduo;32.31;91.58;4814;Apine meadow;88;52.64;-0.06 ;Basin;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
